,property_id,lat,lng,addr_street,price,property_type,year,bedrooms,bathrooms,parking_space,suburb,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,Transfer_flag,travel_min_to_CBD
0,66416.0,-37.777223,145.323512,44 Struan Avenue,7245000.0,house,2014.0,5.0,3.0,2.0,MOOROOLBARK,hospital_113,3.233,S_168,2.069,SC_084,2.284,19877,1.287,0,55.25
1,87138.0,-37.91585922,145.0068359,802 Hampton Street,9360000.0,house,2008.0,3.0,2.0,2.0,BRIGHTON,hospital_156,1.417,S_009,0.976,SC_046,3.818,19951,0.929,0,22.083
2,22656.0,-37.741057,144.95624,35 Vincent Street,10880000.0,house,2014.0,2.0,1.0,1.0,COBURG,hospital_084,1.464,S_172,0.794,SC_030,1.103,19965,0.641,0,28.0
3,31842.0,-37.736872,145.02683,13 Rita Street,5390000.0,house,2011.0,3.0,1.0,0.0,PRESTON,hospital_090,2.04,S_225,1.342,SC_047,0.359,20011,2.318,0,29.182
4,26528.0,-37.571915,144.921423,32 Cradle Mountain Drive,7748000.0,house,2016.0,4.0,2.0,2.0,CRAIGIEBURN,hospital_104,8.77,S_178,2.697,SC_005,0.308,40221,3.848,0,45.889
5,8974.0,-37.887559,144.760796,20 Staples Way,7364000.0,house,2010.0,4.0,2.0,2.0,SEABROOK,hospital_073,7.209,S_001,2.276,SC_092,2.89,46468,2.292,0,32.778
6,65099.0,-37.813056,145.315607,118 Liverpool Road,2979000.0,house,2013.0,4.0,2.0,0.0,KILSYTH,hospital_164,5.311,S_224,1.3,SC_022,3.256,19877,3.164,0,55.25
7,65033.0,-37.80112839,145.3123779,1\/11 Hawthory Road,3396000.0,house,2009.0,3.0,1.0,0.0,KILSYTH,hospital_164,5.049,S_224,0.211,SC_022,2.587,19877,1.823,0,55.25
8,6377.0,-37.78518677,144.8253784,2\/12 Forrest Street,1512000.0,house,2009.0,1.0,1.0,1.0,SUNSHINE,hospital_174,1.045,S_080,0.786,SC_102,0.788,20021,0.758,0,25.733
9,16245.0,-37.69623,144.929836,1\/70 View Street,5120000.0,house,2010.0,3.0,1.0,1.0,GLENROY,hospital_104,5.136,S_209,1.203,SC_059,4.053,20031,1.238,0,34.833
10,92947.0,-37.98577,145.084314,20 Edmond street,10125000.0,house,2014.0,4.0,1.0,2.0,PARKDALE,hospital_001,1.143,S_003,0.655,SC_003,1.682,19864,1.074,0,41.688
11,82863.0,-37.901133,145.2769,7 Banyalla Place,8784000.0,house,2010.0,4.0,2.0,2.0,ROWVILLE,hospital_150,3.207,S_199,1.768,SC_049,2.852,19868,2.698,0,55.143
12,67439.0,-37.76441,145.368031,4 Rose Court,4609000.0,house,2014.0,4.0,1.0,0.0,LILYDALE,hospital_113,1.196,S_081,1.699,SC_084,4.811,19876,2.044,0,61.0
13,95065.0,-37.916236,145.026043,2 Gwendoline Avenue,23680000.0,house,2016.0,3.0,1.0,3.0,BENTLEIGH,hospital_126,1.836,S_107,1.457,SC_046,2.806,19939,0.971,0,38.778
14,42606.0,-37.74612808,145.0737152,8 Greville Road,10824000.0,house,2009.0,4.0,2.0,2.0,ROSANNA,hospital_066,1.461,S_100,1.524,SC_017,1.166,19936,0.759,0,28.0
15,13610.0,-37.74904,144.907297,1 Braemar Street,13590000.0,house,2016.0,3.0,2.0,2.0,ESSENDON,hospital_184,0.775,S_197,0.574,SC_082,1.683,20037,1.103,0,20.857
